Episode 1 	 Cost: 30.1988 	 Latency: 2.6235s 	 Energy: 0.2328J 	 Load: 1.7% 	 Act:[Loc:0% MEC:16% Rem:21% Cld:63%]
Episode 2 	 Cost: 49.2774 	 Latency: 3.8753s 	 Energy: 0.4660J 	 Load: 1.7% 	 Act:[Loc:0% MEC:18% Rem:22% Cld:60%]
Episode 3 	 Cost: 30.4800 	 Latency: 2.6604s 	 Energy: 0.2674J 	 Load: 0.0% 	 Act:[Loc:0% MEC:16% Rem:29% Cld:55%]
Episode 4 	 Cost: 44.6176 	 Latency: 3.5873s 	 Energy: 0.4427J 	 Load: 0.0% 	 Act:[Loc:0% MEC:15% Rem:20% Cld:65%]
Episode 5 	 Cost: 26.8472 	 Latency: 2.3982s 	 Energy: 0.3171J 	 Load: 2.2% 	 Act:[Loc:0% MEC:15% Rem:23% Cld:61%]
Episode 6 	 Cost: 24.9552 	 Latency: 2.2798s 	 Energy: 0.1676J 	 Load: 0.9% 	 Act:[Loc:0% MEC:17% Rem:18% Cld:65%]
Episode 7 	 Cost: 49.1438 	 Latency: 3.9034s 	 Energy: 0.3732J 	 Load: 0.0% 	 Act:[Loc:0% MEC:17% Rem:22% Cld:60%]
Episode 8 	 Cost: 40.3804 	 Latency: 3.3131s 	 Energy: 0.3901J 	 Load: 0.6% 	 Act:[Loc:0% MEC:17% Rem:23% Cld:59%]
Episode 9 	 Cost: 32.8525 	 Latency: 2.8188s 	 Energy: 0.3195J 	 Load: 0.8% 	 Act:[Loc:0% MEC:17% Rem:34% Cld:49%]
Episode 10 	 Cost: 19.0146 	 Latency: 1.8868s 	 Energy: 0.2516J 	 Load: 1.5% 	 Act:[Loc:0% MEC:17% Rem:37% Cld:46%]
Episode 11 	 Cost: 38.2437 	 Latency: 3.1647s 	 Energy: 0.3440J 	 Load: 0.0% 	 Act:[Loc:0% MEC:16% Rem:47% Cld:37%]
Episode 12 	 Cost: 37.2903 	 Latency: 3.0955s 	 Energy: 0.2265J 	 Load: 0.0% 	 Act:[Loc:0% MEC:16% Rem:34% Cld:50%]
Episode 13 	 Cost: 43.7114 	 Latency: 3.5167s 	 Energy: 0.3291J 	 Load: 0.0% 	 Act:[Loc:0% MEC:15% Rem:19% Cld:66%]
Episode 14 	 Cost: 30.8885 	 Latency: 2.6498s 	 Energy: 0.2337J 	 Load: 1.5% 	 Act:[Loc:0% MEC:16% Rem:23% Cld:60%]
Episode 15 	 Cost: 48.6640 	 Latency: 3.8222s 	 Energy: 0.4270J 	 Load: 0.6% 	 Act:[Loc:0% MEC:16% Rem:23% Cld:61%]
Episode 16 	 Cost: 45.5062 	 Latency: 3.6306s 	 Energy: 0.3284J 	 Load: 0.0% 	 Act:[Loc:0% MEC:17% Rem:27% Cld:56%]
Episode 17 	 Cost: 58.7338 	 Latency: 4.4905s 	 Energy: 0.4708J 	 Load: 1.3% 	 Act:[Loc:0% MEC:17% Rem:23% Cld:60%]
Episode 18 	 Cost: 47.1660 	 Latency: 3.7407s 	 Energy: 0.3820J 	 Load: 0.0% 	 Act:[Loc:0% MEC:14% Rem:20% Cld:65%]
Episode 19 	 Cost: 49.7051 	 Latency: 3.9233s 	 Energy: 0.3824J 	 Load: 0.5% 	 Act:[Loc:0% MEC:15% Rem:24% Cld:61%]
Episode 20 	 Cost: 42.0878 	 Latency: 3.4066s 	 Energy: 0.2463J 	 Load: 0.9% 	 Act:[Loc:0% MEC:15% Rem:19% Cld:66%]
Episode 21 	 Cost: 40.0247 	 Latency: 3.2628s 	 Energy: 0.3111J 	 Load: 0.4% 	 Act:[Loc:0% MEC:14% Rem:20% Cld:65%]
Episode 22 	 Cost: 34.1220 	 Latency: 2.8912s 	 Energy: 0.2705J 	 Load: 0.6% 	 Act:[Loc:0% MEC:17% Rem:19% Cld:64%]
Episode 23 	 Cost: 36.1789 	 Latency: 3.0211s 	 Energy: 0.3112J 	 Load: 1.6% 	 Act:[Loc:0% MEC:17% Rem:19% Cld:64%]
Episode 24 	 Cost: 46.5756 	 Latency: 3.7156s 	 Energy: 0.3229J 	 Load: 1.9% 	 Act:[Loc:0% MEC:15% Rem:27% Cld:58%]
Episode 25 	 Cost: 60.8965 	 Latency: 4.6156s 	 Energy: 0.4941J 	 Load: 0.0% 	 Act:[Loc:0% MEC:15% Rem:26% Cld:59%]
Episode 26 	 Cost: 61.4579 	 Latency: 4.6673s 	 Energy: 0.4148J 	 Load: 0.5% 	 Act:[Loc:0% MEC:16% Rem:21% Cld:62%]
Episode 27 	 Cost: 50.0854 	 Latency: 3.9358s 	 Energy: 0.2856J 	 Load: 1.0% 	 Act:[Loc:0% MEC:15% Rem:21% Cld:64%]
Episode 28 	 Cost: 49.0555 	 Latency: 3.8758s 	 Energy: 0.4243J 	 Load: 0.0% 	 Act:[Loc:0% MEC:15% Rem:29% Cld:56%]
Episode 29 	 Cost: 34.7315 	 Latency: 2.9243s 	 Energy: 0.2906J 	 Load: 0.8% 	 Act:[Loc:0% MEC:16% Rem:24% Cld:59%]
Episode 30 	 Cost: 45.9279 	 Latency: 3.6621s 	 Energy: 0.4252J 	 Load: 2.5% 	 Act:[Loc:0% MEC:16% Rem:17% Cld:67%]
Episode 31 	 Cost: 28.1793 	 Latency: 2.4838s 	 Energy: 0.2584J 	 Load: 1.3% 	 Act:[Loc:0% MEC:16% Rem:44% Cld:40%]
Episode 32 	 Cost: 68.8450 	 Latency: 5.1735s 	 Energy: 0.3056J 	 Load: 0.0% 	 Act:[Loc:0% MEC:18% Rem:27% Cld:55%]
Episode 33 	 Cost: 51.8017 	 Latency: 4.0806s 	 Energy: 0.3105J 	 Load: 1.3% 	 Act:[Loc:0% MEC:17% Rem:39% Cld:45%]
